,Nation,U21_Player_Count,Avg_xG_90,Avg_Gls_90
23,fr FRA,133,0.13571428571428573,0.07451127819548872
22,es ESP,115,0.1054782608695652,0.06147826086956522
21,eng ENG,70,0.193,0.11285714285714286
37,it ITA,57,0.1250877192982456,0.05087719298245614
18,de GER,49,0.1740816326530612,0.16163265306122448
2,ar ARG,21,0.15523809523809523,0.0919047619047619
55,pt POR,15,0.12133333333333333,0.07666666666666667
8,br BRA,14,0.17714285714285713,0.185
6,be BEL,14,0.12785714285714286,0.135
13,ci CIV,14,0.11928571428571429,0.1907142857142857
42,ma MAR,13,0.06461538461538462,0.07846153846153846
19,dk DEN,11,0.17909090909090908,0.3181818181818182
60,se SWE,10,0.257,0.20700000000000002
64,sn SEN,8,0.1325,0.16
58,rs SRB,7,0.054285714285714284,0.0
48,ng NGA,7,0.26285714285714284,0.10571428571428572
50,nl NED,7,0.1985714285714286,0.18857142857142858
68,us USA,7,0.06571428571428571,0.07285714285714286
15,cm CMR,7,0.18571428571428572,0.42142857142857143
33,ie IRL,6,0.145,0.06166666666666667
16,co COL,6,0.22166666666666665,0.3433333333333333
45,ml MLI,6,0.25666666666666665,0.05666666666666667
31,hr CRO,5,0.41600000000000004,0.06799999999999999
66,tr TUR,4,0.28250000000000003,0.2525
51,no NOR,4,0.055,0.0425
12,ch SUI,4,0.11,0.135
38,jp JPN,4,0.17,0.375
3,at AUT,3,0.04,0.03333333333333333
67,ua UKR,3,0.02666666666666667,0.0
56,py PAR,3,0.21333333333333335,0.12666666666666668
28,gn GUI,3,0.08333333333333333,0.013333333333333334
57,ro ROU,3,0.17,0.0
53,pl POL,3,0.27999999999999997,0.12
26,gh GHA,3,0.14333333333333334,0.3
49,nir NIR,2,0.11000000000000001,0.09
39,kr KOR,2,0.0,0.0
36,is ISL,2,0.345,0.275
32,hu HUN,2,0.045000000000000005,0.060000000000000005
61,si SVN,2,0.19,0.245
62,sk SVK,2,0.035,0.04
27,gm GAM,2,0.1,0.145
20,dz ALG,2,0.225,0.16999999999999998
17,cz CZE,2,0.13,0.185
65,tn TUN,2,0.065,0.1
69,uy URU,2,0.075,0.105
70,uz UZB,2,0.01,0.0
71,wls WAL,2,0.035,0.0
63,sl SLE,2,0.02,0.0
59,ru RUS,1,0.24,1.23
54,pr PUR,1,0.45,0.0
52,nz NZL,1,0.17,0.0
0,al ALB,1,0.09,0.0
47,ms MSR,1,0.0,0.0
25,ge GEO,1,0.01,0.0
4,au AUS,1,0.05,0.0
5,ba BIH,1,0.26,0.0
7,bf BFA,1,0.0,0.0
9,ca CAN,1,0.0,0.0
10,cd COD,1,0.06,0.0
11,cg CGO,1,0.06,0.05
14,cl CHI,1,0.0,0.0
24,ga GAB,1,0.0,0.0
29,gp GLP,1,0.36,0.28
46,mq MTQ,1,0.35,0.0
30,gr GRE,1,0.03,0.0
34,il ISR,1,0.45,0.0
35,iq IRQ,1,0.0,0.0
1,am ARM,1,0.0,0.0
40,lt LTU,1,0.08,0.19
41,lu LUX,1,0.0,0.0
43,md MDA,1,0.03,0.0
44,me MNE,1,0.05,0.0
72,zm ZAM,1,0.25,0.0
