,Nation,U21_Player_Count,Avg_xG_90,Avg_Gls_90,YouthOutputScore
0,FRA,133,0.135714286,0.074511278,9.91
4,GER,49,0.174081633,0.161632653,7.92
2, ENG,70,0.193,0.112857143,7.9
1,ESP,115,0.105478261,0.061478261,7.07
11,DEN,11,0.179090909,0.318181818,3.5
18,CMR,7,0.185714286,0.421428571,2.95
3,ITA,57,0.125087719,0.050877193,2.9
9,CIV,14,0.119285714,0.190714286,2.67
7,BRA,14,0.177142857,0.185,2.59
12,SWE,10,0.257,0.207,2.07
20,COL,6,0.221666667,0.343333333,2.06
5,ARG,21,0.155238095,0.091904762,1.93
8,BEL,14,0.127857143,0.135,1.89
26,JPN,4,0.17,0.375,1.5
16,NED,7,0.198571429,0.188571429,1.32
13,SEN,8,0.1325,0.16,1.28
48,RUS,1,0.24,1.23,1.23
6,POR,15,0.121333333,0.076666667,1.15
10,MAR,13,0.064615385,0.078461538,1.02
23,TUR,4,0.2825,0.2525,1.01
33,GHA,3,0.143333333,0.3,0.9
15,NGA,7,0.262857143,0.105714286,0.74
36,ISL,2,0.345,0.275,0.55
25,SUI,4,0.11,0.135,0.54
17,USA,7,0.065714286,0.072857143,0.51
38,SVN,2,0.19,0.245,0.49
29,PAR,3,0.213333333,0.126666667,0.38
42,CZE,2,0.13,0.185,0.37
19,IRL,6,0.145,0.061666667,0.37
32,POL,3,0.28,0.12,0.36
41,ALG,2,0.225,0.17,0.34
21,MLI,6,0.256666667,0.056666667,0.34
22,CRO,5,0.416,0.068,0.34
40,GAM,2,0.1,0.145,0.29
62,GLP,1,0.36,0.28,0.28
44,URU,2,0.075,0.105,0.21
43,TUN,2,0.065,0.1,0.2
68,LTU,1,0.08,0.19,0.19
34, NIR,2,0.11,0.09,0.18
24,NOR,4,0.055,0.0425,0.17
37,HUN,2,0.045,0.06,0.12
27,AUT,3,0.04,0.033333333,0.1
39,SVK,2,0.035,0.04,0.08
59,CGO,1,0.06,0.05,0.05
30,GUI,3,0.083333333,0.013333333,0.04
71,MNE,1,0.05,0,0
69,LUX,1,0,0,0
67,ARM,1,0,0,0
66,IRQ,1,0,0,0
57,CAN,1,0,0,0
65,ISR,1,0.45,0,0
64,GRE,1,0.03,0,0
63,MTQ,1,0.35,0,0
70,MDA,1,0.03,0,0
61,GAB,1,0,0,0
60,CHI,1,0,0,0
58,COD,1,0.06,0,0
14,SRB,7,0.054285714,0,0
56,BFA,1,0,0,0
55,BIH,1,0.26,0,0
54,AUS,1,0.05,0,0
53,GEO,1,0.01,0,0
52,MSR,1,0,0,0
51,ALB,1,0.09,0,0
50,NZL,1,0.17,0,0
49,PUR,1,0.45,0,0
47,SLE,2,0.02,0,0
46, WAL,2,0.035,0,0
45,UZB,2,0.01,0,0
35,KOR,2,0,0,0
31,ROU,3,0.17,0,0
28,UKR,3,0.026666667,0,0
72,ZAM,1,0.25,0,0
