Player,Comp,Nation,Age,Pos,Squad,Gls_90,Ast_90,xG_90,xAG_90
Rodrigo Abajas,es La Liga,es ESP,21.0,DF,Valencia,0.0,0.0,0.1,0.0
James Abankwah,it Serie A,ie IRL,20.0,"DF,MF",Udinese,0.0,0.0,0.06,0.0
Keyliane Abdallah,fr Ligue 1,fr FRA,18.0,FW,Marseille,0.0,0.0,0.0,0.0
Nabil Aberdin,es La Liga,fr FRA,21.0,MF,Getafe,0.0,0.0,0.01,0.01
Matthis Abline,fr Ligue 1,fr FRA,21.0,FW,Nantes,0.29,0.07,0.28,0.12
Federico Accornero,it Serie A,it ITA,20.0,MF,Genoa,0.0,0.0,0.0,0.0
Joshua Acheampong,eng Premier League,eng ENG,18.0,DF,Chelsea,0.0,0.0,0.12,0.0
Martin Adeline,fr Ligue 1,fr FRA,20.0,MF,Reims,0.0,0.0,0.0,0.0
Vasilije Adžić,it Serie A,me MNE,18.0,"MF,FW",Juventus,0.0,0.0,0.05,0.0
Asher Agbinone,eng Premier League,eng ENG,18.0,MF,Crystal Palace,0.0,0.0,0.29,0.5
Jeremy Agbonifo,fr Ligue 1,se SWE,18.0,"FW,MF",Lens,0.3,0.0,0.21,0.06
Lorenzo Aguado,es La Liga,es ESP,21.0,DF,Real Madrid,0.0,0.0,0.0,0.0
Honest Ahanor,it Serie A,it ITA,16.0,"DF,MF",Genoa,0.0,0.0,0.17,0.04
Ayman Aiki,fr Ligue 1,fr FRA,19.0,"FW,MF",Saint-Étienne,0.0,0.0,0.07,0.02
Junior Ajayi,it Serie A,ci CIV,19.0,FW,Hellas Verona,0.0,0.0,0.0,0.0
Ümit Akdag,fr Ligue 1,ro ROU,20.0,DF,Toulouse,0.0,0.0,0.01,0.01
Ilias Akhomach,es La Liga,ma MAR,20.0,"MF,FW",Villarreal,0.15,0.0,0.09,0.15
Ibrahim Alani,es La Liga,ng NGA,18.0,MF,Valladolid,0.0,0.0,0.01,0.0
Carlos Alcaraz,eng Premier League,ar ARG,21.0,MF,Southampton,0.0,0.0,0.62,0.86
Carlos Alcaraz,eng Premier League,ar ARG,21.0,"FW,MF",Everton,0.24,0.35,0.2,0.19
Mohamed Ali Cho,fr Ligue 1,fr FRA,20.0,"FW,MF",Nice,0.17,0.22,0.22,0.22
Iker Almena,es La Liga,es ESP,20.0,"FW,DF",Girona,0.0,1.87,0.06,1.27
Hugo Álvarez,es La Liga,es ESP,21.0,"MF,DF",Celta Vigo,0.23,0.17,0.14,0.07
Will Alves,eng Premier League,eng ENG,19.0,FW,Leicester City,0.0,0.0,0.0,0.0
Harry Amass,eng Premier League,eng ENG,17.0,DF,Manchester Utd,0.0,0.0,0.02,0.01
Aurele Amenda,de Bundesliga,ch SUI,21.0,DF,Eint Frankfurt,0.0,0.0,0.0,0.23
Samuel Amo-Ameyaw,eng Premier League,eng ENG,18.0,"FW,DF",Southampton,0.0,0.0,0.07,0.22
Samuel Amo-Ameyaw,fr Ligue 1,eng ENG,18.0,"DF,MF",Strasbourg,0.56,0.0,0.2,0.16
Mathis Amougou,eng Premier League,fr FRA,18.0,MF,Chelsea,0.0,0.0,0.0,0.0
Mathis Amougou,fr Ligue 1,fr FRA,18.0,MF,Saint-Étienne,0.0,0.0,0.05,0.04
Elliot Anderson,eng Premier League,eng ENG,21.0,MF,Nott'ham Forest,0.07,0.2,0.07,0.11
Lorenzo Anghelè,it Serie A,it ITA,19.0,FW,Juventus,0.0,0.0,0.0,0.0
Leandro Antonetti,es La Liga,pr PUR,21.0,FW,Sevilla,0.0,0.0,0.45,0.09
Kyllian Antonio,fr Ligue 1,fr FRA,16.0,"DF,MF",Lens,0.0,0.0,0.03,0.0
